CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score
12346,326,2,0.0,1,2,1,121
12347,2,7,4310.0,4,4,4,444
12348,75,4,1797.24,2,3,4,234
12349,19,1,1757.55,3,1,4,314
12350,310,1,334.4,1,1,2,112
12352,36,11,1545.41,3,4,3,343
12353,204,1,89.0,1,1,1,111
12354,232,1,1079.4,1,1,3,113
12355,214,1,459.4,1,1,2,112
12356,23,3,2811.43,3,2,4,324
12357,33,1,6207.67,3,1,4,314
12358,2,2,1168.06,4,2,3,423
12359,8,6,6245.53,4,4,4,444
12360,52,3,2662.06,2,2,4,224
12361,287,1,189.9,1,1,1,111
12362,3,13,5154.58,4,4,4,444
12363,110,2,552.0,2,2,2,222
12364,8,4,1313.1,4,3,3,433
12365,291,3,320.69,1,2,2,122
12367,4,1,168.9,4,1,1,411
12370,51,4,3545.69,2,3,4,234
12371,45,2,1887.96,3,2,4,324
12372,72,3,1298.04,2,2,3,223
12373,311,1,364.6,1,1,2,112
12374,25,1,742.9300000000001,3,1,3,313
12375,3,3,455.42,4,2,2,422
12377,315,2,1628.12,1,2,4,124
12378,130,1,4008.62,2,1,4,214
12379,82,3,850.29,2,2,3,223
12380,22,5,2720.56,3,3,4,334
12381,5,6,1803.96,4,4,4,444
12383,185,6,1839.31,1,4,4,144
12384,29,3,566.16,3,2,2,322
12386,338,2,401.9,1,2,2,122
12388,16,6,2780.66,4,4,4,444
12390,80,1,549.84,2,1,2,212
12391,22,1,460.89,3,1,2,312
12393,72,4,1582.6000000000001,2,3,3,233
12394,64,2,1272.48,2,2,3,223
12395,16,15,2998.28,4,4,4,444
12397,36,2,2409.9,3,2,4,324
12398,46,1,1635.6599999999999,3,1,4,314
12399,119,4,1108.65,2,3,3,233
12401,303,1,84.3,1,1,1,111
12402,323,1,225.6,1,1,1,111
12403,50,2,409.7,3,2,2,322
12405,149,1,1710.39,1,1,4,114
12406,22,3,3280.75,3,2,4,324
12407,50,5,1708.1200000000001,3,3,4,334
12408,33,9,2842.57,3,4,4,344
12409,79,7,11056.93,2,4,4,244
12410,301,3,681.0799999999999,1,2,3,123
12412,75,3,1226.88,2,2,3,223
12413,67,5,694.15,2,3,3,233
12414,217,3,562.41,1,2,2,122
12415,24,26,123725.45,3,4,4,344
12417,3,12,3578.8,4,4,4,444
12418,113,1,668.58,2,1,3,213
12420,64,1,600.39,2,1,2,212
12421,16,5,806.27,4,3,3,433
12422,96,3,803.5600000000001,2,2,3,223
12423,1,9,1849.11,4,4,4,444
12424,163,2,1760.96,1,2,4,124
12425,78,1,777.2,2,1,3,213
12426,195,1,582.73,1,1,2,112
12427,12,5,708.37,4,3,3,433
12428,26,12,7877.2,3,4,4,344
12429,9,4,3750.4,4,3,4,434
12430,43,1,256.4,3,1,1,311
12431,36,18,6416.39,3,4,4,344
12432,43,5,5059.32,3,3,4,334
12433,1,7,13375.87,4,4,4,444
12434,85,4,765.19,2,3,3,233
12435,80,2,7829.89,2,2,4,224
12436,100,1,509.01,2,1,2,212
12437,2,19,4896.66,4,4,4,444
12438,14,2,2906.85,4,2,4,424
12441,367,1,173.55,1,1,1,111
12442,3,1,172.06,4,1,1,411
12444,21,5,5005.46,3,3,4,334
12445,22,1,133.4,3,1,1,311
12446,58,1,1002.3100000000001,2,1,3,213
12447,243,1,476.49,1,1,2,112
12448,44,1,449.45,3,1,2,312
12449,22,4,4067.29,3,3,4,334
12450,156,2,197.88,1,2,1,121
12451,11,6,8933.52,4,4,4,444
12452,17,3,428.57,4,2,2,422
12453,134,1,707.09,2,1,3,213
12454,53,2,5.684341886080802e-14,2,2,1,221
12455,73,6,2466.86,2,4,4,244
12456,44,4,3153.89,3,3,4,334
12457,58,12,1917.78,2,4,4,244
12458,71,2,947.4,2,2,3,223
12461,94,2,826.88,2,2,3,223
12462,2,4,1124.01,4,3,3,433
12463,46,7,1303.63,3,4,3,343
12464,10,8,1212.05,4,4,3,443
12465,8,3,733.89,4,2,3,423
12468,143,3,724.0400000000001,2,2,3,223
12471,2,49,18740.92,4,4,4,444
12472,31,13,6229.48,3,4,4,344
12473,29,9,2848.23,3,4,4,344
12474,17,30,7116.47,4,4,4,444
12475,54,1,723.38,2,1,3,213
12476,1,20,6546.58,4,4,4,444
12477,23,9,13117.01,3,4,4,344
12478,4,1,680.99,4,1,3,413
12479,4,3,477.3,4,2,2,422
12480,28,4,3281.63,3,3,4,334
12481,23,11,5590.86,3,4,4,344
12483,17,13,2327.13,4,4,4,444
12484,33,8,4495.27,3,4,4,344
12488,10,3,1298.66,4,2,3,423
12489,336,1,334.93,1,1,2,112
12490,5,10,5417.93,4,4,4,444
12491,39,1,460.40000000000003,3,1,2,312
12492,63,2,263.21000000000004,2,2,1,221
12493,166,3,416.79,1,2,2,122
12494,10,13,1139.3500000000001,4,4,3,443
12497,82,1,1043.1,2,1,3,213
12498,21,3,403.70000000000005,3,2,2,322
